,0
0,argila
1,chorei
2,delicia
3,jasper
4,juro
5,lembrei
6,nua
7,tomei
8,perguntei
9,look
10,vc
11,decidi
12,adorei
13,embaixo
14,restaurante
15,escolhi
16,fofo
17,saimos
18,estavamos
19,voltei
20,lindos
21,decoracao
22,louca
23,confesso
24,entrei
25,almoco
26,antiga
27,branca
28,conversando
29,pq
30,roupa
31,preguica
32,manga
33,cai
34,rsrs
35,calca
36,00
37,aulas
38,planos
39,tento
40,jeans
41,amigas
42,amei
43,peguei
44,gostoso
45,deixo
46,vivemos
47,mamae
48,avo
49,cedo
50,ensino
51,gostava
52,sono
53,medio
54,dona
55,posts
56,dao
57,acompanhar
58,mudou
59,vermelho
60,banheiro
61,maximo
62,sexo
63,tentativa
64,tia
65,escolher
66,turma
67,inteira
68,modelos
69,experiencias
70,pau
71,raiva
72,horario
73,valeu
74,legais
75,parede
76,vazio
77,rindo
78,chorar
79,le
80,cm
81,alunos
82,colher
83,colega
84,procurando
85,flores
86,lara
87,hotel
88,re
89,louco
90,rosa
91,estrada
92,mandou
93,academia
94,prometo
95,videos
96,achando
97,onibus
98,ruas
99,vive
100,reais
101,procurar
102,professora
103,saiba
104,conto
105,falei
106,rotina
107,falo
108,poucas
109,detalhe
110,encontrei
111,talento
112,aula
113,primeiras
114,virar
115,loja
116,ficamos
117,lagrimas
118,bebe
119,jo
120,parecia
121,pediu
122,canto
123,parei
124,entrando
125,brincar
126,deseja
127,bolsa
128,cheia
129,curtir
130,sabem
131,vivi
132,ovos
133,estomago
134,vcs
135,passada
136,olhando
137,maravilhosa
138,bonita
139,desafio
140,viajar
141,olhei
142,dessas
143,dificuldades
144,humor
145,desenhos
146,direto
147,pude
148,segundos
149,banho
150,perfeito
151,vim
152,compras
153,estudar
154,geral
155,julho
156,kkk
157,seguida
158,aluno
159,saudade
160,xicara
161,pequenos
162,papai
163,vergonha
164,primeiros
165,mesa
166,kkkk
167,viva
168,comecando
169,carta
170,querida
171,sabedoria
172,cheguei
173,enorme
174,ingredientes
175,comecamos
176,vestido
177,falam
178,basico
179,conseguia
180,ficaram
181,leitores
182,dando
183,michael
184,computador
185,data
186,terem
187,venho
188,chegando
189,trailer
190,lindas
191,perdi
192,duvidas
193,sentindo
194,gracas
195,tomando
196,50
197,conversar
198,branco
199,animal
200,leite
201,jardim
202,morrer
203,gostar
204,interior
205,ontem
206,regras
207,kit
208,lembrancas
209,juntas
210,sentia
211,saudavel
212,querer
213,exatamente
214,aproveitar
215,bateria
216,digo
217,daqui
218,lindo
219,andando
220,universo
221,engracado
222,calma
223,usando
224,lembrando
225,publica
226,alimentacao
227,motivos
228,silencio
229,lugares
230,youtube
231,dezembro
232,preocupacao
233,micael
234,solidao
235,agradeco
236,terca
237,fizeram
238,your
239,alemanha
240,notas
241,praia
242,it
243,relacoes
244,trabalhando
245,paginas
246,roteiro
247,baixo
248,acabei
249,assisti
250,estaria
251,alice
252,ouvindo
253,comprei
254,precisava
255,frio
256,pensei
257,formas
258,senti
259,odio
260,podia
261,opiniao
262,80
263,parado
264,this
265,correndo
266,certamente
267,impressao
268,maquiagem
269,criacao
270,voltando
271,morreu
272,acesso
273,ouvi
274,amores
275,pernas
276,mulheres
277,comida
278,ruins
279,possibilidade
280,chegada
281,beijos
282,doce
283,dores
284,complicado
285,100
286,tanta
287,curso
288,bonito
289,oi
290,pequenas
291,pensamento
292,normal
293,chay
294,costas
295,cores
296,historias
297,cafe
298,viagem
299,massa
300,daquele
301,esperar
302,creio
303,reacao
304,cheio
305,famosa
306,medicina
307,extremamente
308,sentimento
309,perfeitamente
310,colegas
311,natal
312,hahaha
313,diga
314,responder
315,semanas
316,bla
317,dormir
318,achava
319,emprego
320,anjo
321,chao
322,precisar
323,expressao
324,virou
325,caminhada
326,dez
327,lider
328,passei
329,pegar
330,repente
331,praticamente
332,perda
333,li
334,metas
335,motivo
336,indo
337,atitude
338,casamento
339,iria
340,calor
341,pouquinho
342,melhorar
343,pudesse
344,percebi
345,menor
346,leve
347,episodio
348,bela
349,visita
350,cartao
351,pre
352,frase
353,compartilhar
354,tipos
355,desejos
356,06
357,prazo
358,caixa
359,bolo
360,chamar
361,informacao
362,brilho
363,dou
364,otima
365,resolvi
366,consciencia
367,fizemos
368,olhou
369,abraco
370,celular
371,vira
372,aprender
373,recebi
374,ideias
375,descobri
376,pagar
377,esquecer
378,kg
379,dai
380,depressao
381,reuniao
382,opcao
383,ficam
384,danca
385,saco
386,irmaos
387,grupos
388,saida
389,preco
390,salvar
391,medidas
392,chamada
393,justamente
394,parabens
395,forcas
396,justin
397,paixao
398,cheiro
399,moda
400,nao
401,voce
402,deus
403,ser
404,vida
405,senhor
406,sao
407,dia
408,sobre
409,pra
410,tambem
411,ja
412,jesus
413,vai
414,pode
415,bem
416,anos
417,ate
418,tudo
419,porque
420,disse
421,todos
422,mundo
423,ter
424,pessoas
425,sempre
426,ainda
427,filme
428,pai
429,aqui
430,so
431,ha
432,onde
433,assim
434,tempo
435,historia
436,nome
437,entao
438,fazer
439,livro
440,grande
441,diz
442,apenas
443,trabalho
444,pois
445,cada
446,pais
447,forma
448,agora
449,voces
450,melhor
451,projeto
452,estar
453,cristo
454,hoje
455,vez
456,lo
457,filhos
458,mim
459,amor
460,ve
461,ano
462,palavra
463,nada
464,vou
465,outro
466,alem
467,coisas
468,brasil
469,parte
470,todo
471,enquanto
472,cidade
473,deve
474,bom
475,casa
476,lugar
477,durante
478,coracao
479,pessoa
480,corpo
481,la
482,nunca
483,banda
484,outros
485,meio
486,facebook
487,quanto
488,entrevista
489,povo
490,algo
491,filho
492,the
493,momento
494,qualquer
495,estao
496,faz
497,verdade
498,contra
499,muitos
500,apos
501,familia
502,todas
503,paulo
504,musica
505,coisa
506,fe
507,porem
508,logo
509,primeira
510,primeiro
511,antes
512,amigos
513,homem
514,dias
515,tal
516,10
517,igreja
518,sera
519,neste
520,quero
521,morte
522,quer
523,muitas
524,pouco
525,blog
526,importante
527,los
528,empresa
529,album
530,ver
531,vamos
532,ninguem
533,dar
534,acho
535,conta
536,alguns
537,olhos
538,tao
539,atraves
540,caso
541,mal
542,desde
543,hora
544,novo
545,fas
546,video
547,mente
548,sei
549,sabe
550,desta
551,propria
552,menos
553,fez
554,alguem
555,dizer
556,gente
557,outra
558,mulher
559,dentro
560,dois
561,duas
562,escola
563,papel
564,advogado
565,realmente
566,lado
567,outras
568,maior
569,mesma
570,sim
571,poderia
572,social
573,http
574,fato
575,joao
576,vao
577,palavras
578,feira
579,vem
580,boa
581,oracao
582,final
583,pele
584,foto
585,evangelho
586,ler
587,sucesso
588,vezes
589,disso
590,preciso
591,talvez
592,algumas
593,local
594,arte
595,autor
596,posso
597,quase
598,fim
599,presidente
600,quais
601,toda
602,imagens
603,tanto
604,felicidade
605,voz
606,mao
607,claro
608,frente
609,terra
610,ficar
611,personagem
612,ex
613,saber
614,viver
615,equipe
616,nenhum
617,ai
618,comunidade
619,post
620,forca
621,nova
622,rio
