,0
0,00
1,10
2,11
3,12
4,13
5,14
6,15
7,16
8,17
9,18
10,20
11,2010
12,2011
13,2012
14,21
15,30
16,abaixo
17,abandono
18,abraco
19,abrir
20,acaba
21,acabou
22,acao
23,acha
24,achar
25,achei
26,acho
27,acima
28,acontece
29,acontecer
30,aconteceu
31,acordo
32,acreditar
33,acredito
34,adoro
35,advogado
36,afinal
37,agora
38,agua
39,ah
40,ai
41,ainda
42,ajuda
43,ajudar
44,album
45,alegria
46,alem
47,algo
48,alguem
49,algum
50,alguma
51,algumas
52,alguns
53,ali
54,alma
55,alto
56,altura
57,ama
58,amanha
59,amar
60,ambiente
61,amiga
62,amigo
63,amigos
64,amizade
65,amo
66,amor
67,and
68,andar
69,animais
70,aniversario
71,ano
72,anos
73,antes
74,apenas
75,apesar
76,apos
77,aprender
78,aprendi
79,apresentacao
80,aqui
81,ar
82,area
83,arte
84,assim
85,assistir
86,assunto
87,ate
88,atencao
89,atras
90,atraves
91,atual
92,aula
93,aulas
94,autor
95,azul
96,banda
97,banheiro
98,banho
99,base
100,bastante
101,beijo
102,beijos
103,beleza
104,bem
105,biblia
106,blog
107,boa
108,boas
109,boca
110,bolo
111,bom
112,bons
113,br
114,brasil
115,breve
116,busca
117,buscar
118,ca
119,cabeca
120,cabelo
121,cabelos
122,cada
123,cafe
124,cama
125,caminho
126,cara
127,carinho
128,carro
129,casa
130,casamento
131,caso
132,causa
133,cedo
134,cena
135,centro
136,certa
137,certeza
138,certo
139,ceu
140,chance
141,chao
142,chega
143,chegamos
144,chegando
145,chegar
146,chegou
147,cheguei
148,cheia
149,cheio
150,chocolate
151,cidade
152,cima
153,cinco
154,cinema
155,claro
156,cliente
157,clique
158,cm
159,coisa
160,coisas
161,colocar
162,coloquei
163,comeca
164,comecar
165,comecei
166,comeco
167,comecou
168,comentarios
169,comer
170,comigo
171,companhia
172,completamente
173,comportamento
174,comprar
175,computador
176,comum
177,comunidade
178,conhece
179,conhecer
180,conheci
181,consegue
182,consegui
183,conseguir
184,consigo
185,conta
186,contar
187,contato
188,continuar
189,contra
190,contrario
191,conversando
192,cor
193,coracao
194,coragem
195,cores
196,corpo
197,creme
198,crescer
199,crianca
200,criancas
201,criar
202,cristo
203,cuidado
204,cuidar
205,culpa
206,cultura
207,curso
208,dai
209,daquele
210,daqui
211,dar
212,dava
213,dei
214,deixa
215,deixar
216,deixei
217,deixou
218,demais
219,dentro
220,desafio
221,descobri
222,descobrir
223,desde
224,desejo
225,desenho
226,dessa
227,desse
228,desta
229,deste
230,destino
231,detalhes
232,deu
233,deus
234,deve
235,devemos
236,deveria
237,devido
238,devo
239,dia
240,diante
241,dias
242,dicas
243,diferenca
244,diferente
245,diferentes
246,dificil
247,dificuldade
248,dinheiro
249,direito
250,disse
251,disso
252,dito
253,diz
254,dizendo
255,dizer
256,doce
257,dois
258,domingo
259,dona
260,dor
261,dormir
262,duas
263,durante
264,duvida
265,efeito
266,eis
267,embora
268,emocao
269,emocoes
270,empresa
271,encontra
272,encontrar
273,encontrei
274,encontro
275,enfim
276,engracado
277,enorme
278,enquanto
279,entanto
280,entao
281,entender
282,entrar
283,entrevista
284,epoca
285,equipe
286,errado
287,escola
288,escolha
289,escrever
290,espaco
291,especial
292,espera
293,esperanca
294,esperando
295,esperar
296,espero
297,espirito
298,estado
299,estao
300,estar
301,estavamos
302,estilo
303,estrada
304,estranho
305,estudar
306,etc
307,evangelho
308,evento
309,ex
310,exatamente
311,exemplo
312,existe
313,existem
314,experiencia
315,explicar
316,faca
317,facebook
318,facil
319,faco
320,faculdade
321,fala
322,falando
323,falar
324,falei
325,falo
326,falou
327,falta
328,familia
329,fas
330,fase
331,fato
332,favor
333,faz
334,fazem
335,fazendo
336,fazer
337,fazia
338,fe
339,feira
340,feita
341,feito
342,felicidade
343,feliz
344,felizes
345,ferias
346,festa
347,fez
348,fica
349,ficam
350,ficamos
351,ficar
352,ficava
353,fico
354,ficou
355,filha
356,filho
357,filhos
358,filme
359,filmes
360,fim
361,final
362,finalmente
363,fiquei
364,fiz
365,fome
366,fonte
367,forca
368,forma
369,forte
370,foto
371,fotos
372,frente
373,frio
374,fulo
375,fundo
376,futuro
377,ganhar
378,garota
379,garoto
380,gente
381,gosta
382,gostaria
383,gostei
384,gosto
385,graca
386,grande
387,grandes
388,grupo
389,ha
390,havia
391,historia
392,historias
393,hoje
394,homem
395,homens
396,hora
397,horario
398,horas
399,http
400,humano
401,ia
402,idade
403,ideia
404,ideias
405,igreja
406,imagem
407,importa
408,importancia
409,importante
410,impossivel
411,in
412,inclusive
413,incrivel
414,indo
415,infancia
416,infelizmente
417,informacoes
418,ingles
419,inicio
420,inteiro
421,interessante
422,internet
423,ir
424,ira
425,iria
426,irma
427,irmao
428,is
429,ja
430,jamais
431,janeiro
432,jeito
433,jesus
434,joao
435,jogo
436,jovem
437,jovens
438,junto
439,juntos
440,kkk
441,la
442,lado
443,legal
444,lei
445,leite
446,leitura
447,lembrar
448,lembro
449,ler
450,leva
451,levar
452,leve
453,levou
454,liberdade
455,linda
456,lindo
457,linha
458,livre
459,livro
460,livros
461,lo
462,local
463,logo
464,loja
465,longe
466,longo
467,look
468,los
469,lua
470,lugar
471,lugares
472,luz
473,mae
474,maio
475,maior
476,maiores
477,maioria
478,mal
479,mamae
480,maneira
481,manha
482,manter
483,mao
484,maos
485,mar
486,maravilhoso
487,marca
488,marido
489,massa
490,matar
491,maximo
492,medico
493,medo
494,meia
495,meio
496,mel
497,melhor
498,melhores
499,meninas
500,meninos
501,menos
502,mensagem
503,mente
504,merece
505,mes
506,meses
507,mesma
508,mesmos
509,mim
510,minutos
511,missao
512,modo
513,momento
514,momentos
515,monte
516,morte
517,mostrar
518,motivo
519,muda
520,mudanca
521,mudancas
522,mudar
523,muita
524,muitas
525,muitos
526,mulher
527,mulheres
528,mundo
529,musica
530,musicas
531,nada
532,nao
533,naquela
534,naquele
535,natal
536,natureza
537,ne
538,necessario
539,negra
540,nele
541,nenhum
542,nenhuma
543,nessa
544,nesse
545,neste
546,ninguem
547,nisso
548,noite
549,nome
550,normal
551,nota
552,nova
553,novamente
554,novas
555,novo
556,novos
557,numero
558,nunca
559,objetivo
560,obra
561,obrigada
562,obrigado
563,odio
564,of
565,oi
566,ola
567,olha
568,olhando
569,olhar
570,olho
571,olhos
572,onde
573,onibus
574,ontem
575,oportunidade
576,oracao
577,original
578,otimo
579,outra
580,outras
581,outro
582,outros
583,ouvi
584,ouvir
585,pagar
586,pai
587,pais
588,palavra
589,palavras
590,pao
591,papel
592,parar
593,parece
594,parecia
595,parte
596,partir
597,passa
598,passado
599,passando
600,passar
601,passei
602,passo
603,passos
604,passou
605,pastor
606,paulo
607,paz
608,pe
609,peca
610,pedir
611,pedro
612,pegar
613,pele
614,pena
615,pensamentos
616,pensando
617,pensar
618,pensei
619,penso
620,pequena
621,pequeno
622,perceber
623,percebi
624,perder
625,perfeito
626,pergunta
627,perguntou
628,periodo
629,personagem
630,personagens
631,perto
632,pes
633,peso
634,pessoa
635,pessoal
636,pessoas
637,pior
638,plano
639,pode
640,podem
641,podemos
642,poder
643,poderia
644,podia
645,pois
646,ponto
647,pontos
648,porem
649,porque
650,porta
651,portanto
652,pos
653,possa
654,possivel
655,posso
656,post
657,postagem
658,postar
659,pouco
660,poucos
661,pouquinho
662,povo
663,pq
664,pra
665,praia
666,pratica
667,praticamente
668,prazer
669,precisa
670,preciso
671,presente
672,presentes
673,presidente
674,pressao
675,primeira
676,primeiro
677,principal
678,principalmente
679,pro
680,problema
681,problemas
682,processo
683,produto
684,produtos
685,programa
686,projeto
