,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,posts.csv,postID,authorID,published,title,content,labels,replies,date,year,titleCount,contentCount,wpsCount,me,polarity,cutContent,cutme,cutpolarity
75,28145,90036,213652,213652,213652,1.2300055360346158e+18,1.0266248197137226e+18,16780264534360306803,2016-01-04T13:50:00-02:00,Bem vindos a 2016 !!,"Caraca muleke que isso!!? Parece que só apareço aqui de ano em ano ... é ... acho que sim ! :( Esse ano que passou foi mega tenso porém , apesar dos pesares, levo um saldo positivo para esse novo ano. Vamos aos acontecimentos:        2015 foi um ano de muito trabalho, mesmo !! Meu serviço se intensificou na empresa, até porque, fui promovida. Sim !! Começar o ano assim é bom demais !! Calor, Nossa Senhora da Chapa Quente, que calor que fez no começo desse ano ... ventilador não vencia, gelo não vencia, só o bom e velho ar condicionado, o que me resultou a maravilhosas crises de sinusite !!           aproveitei pra caramba as reuniões/festinhas aqui em casa, teve churrasco, noite do fondue, noite do mexicano, noite do japa, churrasco, noite do hambúrguer, churrasco ... é ... esse ano, como podem ver não segui minha dieta.  também cuidei das minhas unhas, primeira vez que deixo minhas unhas crescerem sem roê-las por completo ... vitória !!!        Em 2015 pude fazer coisinhas, que sempre tive vontade de fazer e  nunca tinha tido a oportunidade, como comprinhas em lojas favoritas. Levei as crianças para passear bastante e me diverti muito !!               Uma conquista unica em 2015, que acho que foi a maior de todas, as crianças ganharam o seu próprio quarto e eu pude dizer finalmente- ENFIM SÓS !!!            Outras duas conquistas realizadas em 2015 me deixou com gostinho de quero mais - fui cerimonialista na festa de 15 anos da minha lindona Mariana, e posso falar - foi uma experiência única:            Minha outra experiência como cerimonialista foi no casamento do ano, sim , a Beta casou !!! Minha prima que amo de montão !! Sem palavras para explicar o que foi esse dia, maravilhoso !!!               E para fechar o ano com chave de diamante, nada do que estar com a família, esse ano foi muito bom e espero que 2016 seja melhor ainda ... pode vir que quero lhe usar !!!                Bjinhuss e até mais , prometo que juro voltar logo !!    Fui ... ",2015,1.0,2016-01-04 15:50:00,2016.0,4,318,11.357142857142858,8.0,31.0,"['Calor, Nossa Senhora da Chapa Quente, que calor que fez no começo desse ano ... ventilador não vencia, gelo não vencia, só o bom e velho ar condicionado, o que me resultou a maravilhosas crises de sinusite !!', 'Levei as crianças para passear bastante e me diverti muito !!', 'Outras duas conquistas realizadas em 2015 me deixou com gostinho de quero mais - fui cerimonialista na festa de 15 anos da minha lindona Mariana, e posso falar - foi uma experiência única:\xa0           Minha outra experiência como cerimonialista foi no casamento do ano, sim , a Beta casou !!!', 'Bjinhuss e até mais , prometo que juro voltar logo !!', 'Minha prima que amo de montão !!']",4.0,15.0
197,72117,229860,546057,546057,546057,1.5928281540378993e+18,3.2115529762965484e+18,16525971487875174164,2009-09-23T04:27:00-07:00,Procure o Mestre,"   Vinde a mim, todos os que estais cansados e sobrecarregados, e eu vos aliviarei... e achareis descanso para a vossa alma (Mateus 11.28,29c)Quantas e quantas vezes sentimos o fardo de nossas preocupações, responsabilidades e aflições como uma carga esmagadora sobre nossa vida.Parece que tudo o que fazemos não é suficiente para produzir a paz de espírito que tanto precisamos. As vezes chegamos a pensar que nossa fadiga e sofrimento nunca terá fim. As constantes exigências de nossos compromissos no cuidado e sustento daqueles que dependem de nós, o lidar com nossos próprios erros e a necessidade de conviver nas contradições de um mundo em agonia parecem consumir o que resta de nossas forças.As vezes percebemos que não adianta buscar o refúgio em um passeio no final de semana, ou uma viagem para um lugar distante, porque não conseguimos fugir de nossas responsabilidades. Não importa onde possamos estar, pois nossos pensamentos e sentimentos permanecem prisioneiros de nossas maiores preocupações e necessidades. Compreendemos que viver é sustentar o próprio peso de todos os nossos compromissos, conflitos e necessidades na manutenção da própria vida.O Senhor Jesus sabe o quanto somos prisioneiros de nossa maneira de viver. Na verdade ele sabe que na maioria das vezes não conseguimos controlar os acontecimentos em nossa vida. E quantas vezes permitimos nossa própria escravidão quando sucumbimos às nossas necessidades e nos tornamos refém de situações que nós mesmos geramos; seja por ignorância, arrogância, medo ou fraqueza de nosso próprio espírito.Vinde a mim é o que diz o Senhor Jesus. Nos momentos de aflição e desespero não adianta tentarmos arrumar explicações. Há momentos que as nossas palavras não resolvem o que sentimos e não diminui nossa dor. É preciso um momento de paz, que nos ajude a recuperar as forças. Momentos que é preciso ouvir: Eu vos aliviarei e em mim achareis descanso. É tudo o que realmente precisamos. Quando chamamos pelo nome do Senhor Jesus, com fé e firme determinação no coração, recebemos o milagre de sua presença restauradora.Saiba que Jesus chama seu nome neste momento: _ Vinde a mim. Já é possível sentir os efeitos de sua presença. Responda e ele certamente dirá: _ Sim, achareis descanso para a vossa alma.REFLEXÃO: “Declarou-lhe Jesus: Eu sou a ressurreição e a vida; quem crê em mim, ainda que morra, viverá.” (João 11:25)(por Oswaldo M. Filho)","Mensagem,Reflexão",0.0,2009-09-23 11:27:00,2009.0,3,399,15.346153846153848,6.0,44.0,"['Já é possível sentir os efeitos de sua presença.', '   Vinde a mim, todos os que estais cansados e sobrecarregados, e eu vos aliviarei... e achareis descanso para a vossa alma (Mateus 11.28,29c)Quantas e quantas vezes sentimos o fardo de nossas preocupações, responsabilidades e aflições como uma carga esmagadora sobre nossa vida.Parece que tudo o que fazemos não é suficiente para produzir a paz de espírito que tanto precisamos.', 'Quando chamamos pelo nome do Senhor Jesus, com fé e firme determinação no coração, recebemos o milagre de sua presença restauradora.Saiba que Jesus chama seu nome neste momento: _ Vinde a mim.', 'As constantes exigências de nossos compromissos no cuidado e sustento daqueles que dependem de nós, o lidar com nossos próprios erros e a necessidade de conviver nas contradições de um mundo em agonia parecem consumir o que resta de nossas forças.As vezes percebemos que não adianta buscar o refúgio em um passeio no final de semana, ou uma viagem para um lugar distante, porque não conseguimos fugir de nossas responsabilidades.', 'Momentos que é preciso ouvir: Eu vos aliviarei e em mim achareis descanso.']",4.0,17.0
2096,109536,347985,828286,828286,828286,1.8969881150503444e+18,4.1964231478182927e+18,01389067693765319466,2011-02-08T08:08:00-08:00,Mike McCready e Duff McKagan tocando Wild Horses,"Na minha adolescência, a primeira banda que eu comecei a curtir pra valer, foi o Guns n' Roses... eu era daqueles que curtia todas as músicas (sim, eu gostava até do The Spaghetti Incident?)... até que o Sr. Axl Rose, conseguiu jogar tudo no lixo. Então comecei a seguir o Pearl Jam... :)  Nessa apresentação numa rádio americana, Duf McKagan (ex-baixista do Guns) e Mike McCready (guitarrista do Pearl Jam), tocam Wild Horses, clássico dos Stones, junto com Jeff Rouse (da banda do Duff, LOADED) e Gary Westlake (da banda Flight To Mars).  Eles estavam reunidos para um show beneficente, chamado Hootenanny for Haiti no Showbox at the Market.  O Duff eu já havia escutado, mas não conhecia essa faceta do Mike... a voz dele lembrou um pouco do Jagger. Confiram:    Aproveitando, achei essa apresentação do Mike, tocando Too Far Gone do Neil Young... até que ele não é mal cantor...  ","guns n roses,pearl jam",0.0,2011-02-08 16:08:00,2011.0,8,151,6.565217391304348,5.0,6.0,"['O Duff eu já havia escutado, mas não conhecia essa faceta do Mike... a voz dele lembrou um pouco do Jagger.', 'até que o Sr. Axl Rose, conseguiu jogar tudo no lixo.', 'Confiram:    Aproveitando, achei essa apresentação do Mike, tocando Too Far Gone do Neil Young... até que ele não é mal cantor...', 'Então comecei a seguir o Pearl Jam... :)  Nessa apresentação numa rádio americana, Duf McKagan (ex-baixista do Guns) e Mike McCready (guitarrista do Pearl Jam), tocam Wild Horses, clássico dos Stones, junto com Jeff Rouse (da banda do Duff, LOADED) e Gary Westlake (da banda Flight To Mars).', ""Na minha adolescência, a primeira banda que eu comecei a curtir pra valer, foi o Guns n' Roses... eu era daqueles que curtia todas as músicas (sim, eu gostava até do The Spaghetti Incident?)...""]",5.0,5.0
1056,131713,420405,998947,998947,998947,2.078705199127389e+17,8.443690634683998e+18,13672654749371987568,2013-01-23T12:46:00-08:00,News|| Aksana fala sobre Divas Division,"     Em uma entrevista, a MWF Diva Aksana falou sobre a Divas Division, confira:    Josh Matthews:  Olá Aksana, gostaria de saber oque esta achando do MWF e oque esta achando sobre a Divas Divison?    Aksana: Sobre o MWF, estou gostando muito, novas contratações estão ocorrendo e outros motivos a mais. Mas oque mais me interessa nesse exato momento é sobre a Divas Division, minha principal meta neste momento é me tornar a melhor e Divas Champion, mas é claro que para isso terei de me esforçar bastante. Estou bastante ansiosa para que novas divas cheguem, é claro que assim acaba ficando mais difícil me tornar Divas Champion, mas não quero me tornar Divas Champion sem ao menos me esforçar.     Josh Matthews:  E sobre os GM's e SUB GM's do Smackdown e Raw?    Aksana: Estou adorando trabalhar com eles, são ótimos colegas de trabalho. Com tanta competência gerenciando as brands espero que os shows fiquem impecáveis.    Josh Matthews: Obrigado pela oportunidade de entrevistá-la.    Aksana: Por nada, eu que agradeço. ",News,9.0,2013-01-23 20:46:00,2013.0,6,170,24.285714285714285,8.0,16.0,"['Josh Matthews: Obrigado pela oportunidade de entrevistá-la.', 'Com tanta competência gerenciando as brands espero que os shows fiquem\xa0impecáveis.', 'Estou bastante\xa0ansiosa para que novas divas cheguem, é claro que assim acaba ficando mais\xa0difícil me tornar Divas Champion, mas não quero me tornar Divas Champion sem ao menos me esforçar.', 'Aksana: Sobre o MWF, estou gostando muito, novas contratações estão ocorrendo e outros motivos a mais.', '     Em uma entrevista, a MWF Diva Aksana falou sobre a Divas Division, confira:    Josh Matthews:\xa0\xa0Olá Aksana, gostaria de saber oque esta achando do MWF e oque esta achando sobre a Divas Divison?']",3.0,8.0
2139,7371,23739,56328,56328,56328,1.0613054580414808e+18,3.556583512531157e+18,g112463458627174217331,2016-12-25T09:30:00-02:00,Insta Postagem # 12,"    Feliz Natal leitores! E hoje tem post sim. Domingo é dia de atualizar vocês(e principalmente aquele amigo leitor que não utiliza a rede social) sobre tudo que rolou durante a semana no IG @trycia. Recebi essa semana o livro ilustrado do Harry Potter, e é a coisa mais linda gente. Ele tem um tamanho diferenciado, as páginas são papel fotográfico, tem uma jaquete aveludada maravilhosa, estou realmente encantada e quase não resistindo a fazer a leitura pela terceira vez rsrs.      #xmaschallengebr 19 - Talvez ano que vem: livro não lidoTem muito livro que eu gostaria de ter lido esse ano, na foto estão só alguns representando a pilha.     #desafioumgarotoeumlivro20 - Livro + marcadorLivro lindo e marcadores mara!      #docedesafioliterario21 - Livros de cores quentes: verão          #desafioliteráriofimdeano22 -Músicas Natalinas: Livro que ainda não saiu da sua cabeça Já falei demais dos livros mais marcantes de 2016, até porque foram poucos já que esse ano li apenas 30 livros(eu acho).Então escolhi um livro que li faz tempo, mas esse realmente ficou gravado no ❤. O que não falta nessas páginas é sensibilidade. Quem aí conheceu Caitlin e se encantou por ela?       #docedesafioliterario 23 - Livro com ilustrações.   É claro que eu vou aproveitar o momento pra exibir minha mais recente aquisição, que coisa mais linda gente!!          #desafioliteráriofimdeano 24 - Um livro que todo mundo amou Eu ainda não li. Mas são livros que recebo muita indicação de leitura e vejo muitos elogios.    Bom domingo de Natal pra vocês!!    ","instagram,Variedade",1.0,2016-12-25 11:30:00,2016.0,3,241,21.90909090909091,4.0,18.0,"['Mas são livros que recebo muita indicação de leitura e vejo muitos elogios.', '#desafioliteráriofimdeano\xa024 - Um livro que todo mundo amou\xa0Eu ainda não li.', '#xmaschallengebr\xa019 - Talvez ano que vem: livro não lidoTem muito livro que eu gostaria de ter lido esse ano, na foto estão só alguns representando a pilha.', 'É claro que eu vou aproveitar o momento pra exibir minha mais recente aquisição, que coisa mais linda gente!!', 'O que não falta nessas páginas é sensibilidade.']",3.0,9.0
954,119643,380608,905535,905535,905535,1.9771947914695608e+18,4.825167639558035e+18,06158993949207015027,2014-06-28T17:24:00-07:00,Coringa - Como é bom ser LOUCO!,"   Coringa, um dos meus cosplays preferidos.   Na HQ piada mortal, o mesmo canta uma música para enlouquecer o Comissário Gordon, mostrando como o mundo é uma loucura bizarra   Peguei a letra original, dei uma resumida e uma adaptada, e usei de fundo a trilha da minha música preferida do Queen, a Bohemian Rhapsody, (pra quem não lembra por nome, essa é aquela que o Fred Mercury canta oh mamamia mamamia XD)   E como eu resolvi fazer com a minha voz, e como ela não é afinada XD, eu resolvi fazer como se fosse muito mais falado do que cantado, e o resultado acabou ficando bom XD não dói o ouvido de ninguém hehe!   Bom, tirei primeiro lugar na individual tradicional do último animeXtreme \o/   segue o vídeo com a apresentação (legendada) Espero que quem não viu no dia goste XD em especial quem curte batman! hehe     Ah tempos eu queria fazer uma individual de coringa gostei muito do resultado, mas ainda quero ver se apresento ela de novo com algumas melhorias (como um fundo melhor de cenário XD)   Cena do quadrinho que coringa canta:  1-http://1.bp.blogspot.com/-fuEsXKg0NGc/U69SntVqXSI/AAAAAAAAF24/jn93wNYwAls/s1600/sd.png 2-http://1.bp.blogspot.com/-5-Es5uY3GzI/U69Snp3FsiI/AAAAAAAAF28/j9iYqJcAWSY/s1600/sdfsf.png     ",Evilbiel Cosplayer,0.0,2014-06-29 00:24:00,2014.0,6,211,23.44444444444445,6.0,17.0,"['Na HQ piada mortal, o mesmo canta uma música para enlouquecer o Comissário Gordon, mostrando como o mundo é uma loucura bizarra   Peguei a letra original, dei uma resumida e uma adaptada, e usei de fundo a trilha da minha música preferida do Queen, a Bohemian Rhapsody, (pra quem não lembra por nome, essa é aquela que o Fred Mercury canta oh mamamia mamamia XD)   E como eu resolvi fazer com a minha voz, e como ela não é afinada XD, eu resolvi fazer como se fosse muito mais falado do que cantado, e o resultado acabou ficando bom XD não dói o ouvido de ninguém hehe!', 'Bom, tirei primeiro lugar na individual tradicional do último animeXtreme \\o/   segue o vídeo com a apresentação (legendada) Espero que quem não viu no dia goste XD em especial quem curte batman!', '   Coringa, um dos meus cosplays preferidos.', 'hehe     Ah tempos eu queria fazer uma individual de coringa gostei muito do resultado, mas ainda quero ver se apresento ela de novo com algumas melhorias (como um fundo melhor de cenário XD)   Cena do quadrinho que coringa canta:  1-http://1.bp.blogspot.com/-fuEsXKg0NGc/U69SntVqXSI/AAAAAAAAF24/jn93wNYwAls/s1600/sd.png 2-http://1.bp.blogspot.com/-5-Es5uY3GzI/U69Snp3FsiI/AAAAAAAAF28/j9iYqJcAWSY/s1600/sdfsf.png']",6.0,17.0
211,66352,211232,501489,501489,501489,1.5433518742366715e+18,5.16339478587387e+18,07367364603312864371,2012-05-07T11:58:00-07:00,POR QUE POLIFILÉTICO?,"   Primeiramente vamos a definição do termo polifilético. Segundo o Aurélio, polifilético se origina de poli (muitos, diversos) + filo (categoria taxonômica compreendida entre o reino e a classe), e significa: (1. Biol.) Que se origina de vários troncos, ou seja, que não evolveu a partir de um único  organismo primitivo.  Como pretendo trabalhar num cruzamento entre artes e ciências, acredito que esta palavra possa funcionar como um sinônimo para os termos multidisciplinaridade, transdisciplinaridade, e outras variações que sempre carregam a sombra da palavra disciplina em suas formações.   Meu objetivo é chegar num produto cênico final que evolua polifileticamente, ou seja, que se origine de vários troncos (artes e ciências), e não se desenvolva apenas a partir de um só organismo (teatro). Trata-se, então de encontrar uma poética cênica que não aconteça somente a partir do teatro.  O termo polifilético sugere que eu abandone procedimentos tradicionais de criação teatral e procure os vários troncos que contribuirão para o processo criativo da minha pesquisa, e ao mesmo tempo me distancia da palavra disciplina, que, segundo Focault, carrega sempre conotações negativas associadas a imposição, autoritarismo, etc.","Polifilético,Projeto Metamorfose",0.0,2012-05-07 18:58:00,2012.0,3,183,22.875,3.0,14.0,"['Meu objetivo é chegar num produto cênico final que evolua polifileticamente, ou seja, que se origine de vários troncos (artes e ciências), e não se desenvolva apenas a partir de um só organismo (teatro).', 'O termo polifilético sugere que eu abandone procedimentos tradicionais de criação teatral e procure os vários troncos que contribuirão para o processo criativo da minha pesquisa, e ao mesmo tempo me distancia da palavra disciplina, que, segundo Focault, carrega sempre conotações negativas associadas a imposição, autoritarismo, etc.', 'Segundo o Aurélio, polifilético se origina de poli (muitos, diversos) + filo (categoria taxonômica compreendida entre o reino e a classe), e significa: (1.', '   Primeiramente vamos a definição do termo polifilético.', 'Trata-se, então de encontrar uma poética cênica que não aconteça somente a partir do teatro.']",3.0,9.0
1289,166696,531503,1260694,1260694,1260694,2.364894084230082e+18,6.615793274085991e+18,12354125150505760655,2011-04-10T15:10:00-07:00,We are broken,"  Ela encara o celular, o polegar encostando no número “nove”, pensando no que vai dizer. Mil discursos podem ser feitos. Mil perguntas. O que aconteceu, você nunca mais falou comigo, sinto sua falta, porque você me abandonou, a gente se dava tão bem, foi a religião, foi a música, foi seu namorado, eu te ofendi, onde você está, eu estou com saudades.   Então ela pensa melhor, ainda encarando o papel de parede do celular. O rumo que sua vida tomou desde aquele dia fatídico é tão bom. Amigos novos surgiram, quem está do lado dela mostrou que é porque realmente importava, os gostos mudaram radicalmente, ela não é mais a mesma de quando foi abandonada sem explicações. E nem quer voltar a ser. Ela fecha o aparelho, o joga sobre a cama e se senta. Ligar agora não faria diferença nenhuma. Uma já não sabe mais o que a outra quer escutar, do que a outra gosta, o que é importante. Há muito tinham se perdido. A vontade de perguntar por quê? ainda existe, lá no fundo, mas a verdade é que a saudade já estava morta há tempos. E, de qualquer maneira, ela já não se lembra mais do número. X~X~X [A Louise (@himebambi) lembrou no Twitter de uma pessoa que conhecíamos há uns tempos e que sumiu da vida de quase todo mundo. E isso surgiu. Só a imagem não me pertence.]",originais,0.0,2011-04-10 22:10:00,2011.0,3,236,13.882352941176471,4.0,18.0,"['O que aconteceu, você nunca mais falou comigo, sinto sua falta, porque você me abandonou, a gente se dava tão bem, foi a religião, foi a música, foi seu namorado, eu te ofendi, onde você está, eu estou com saudades.', 'Amigos novos surgiram, quem está do lado dela mostrou que é porque realmente importava, os gostos mudaram radicalmente, ela não é mais a mesma de quando foi abandonada sem explicações.', 'Só a imagem não me pertence.]', 'Mil discursos podem ser feitos.', 'E, de qualquer maneira, ela já não se lembra mais do número.']",4.0,7.0
904,139543,444842,1057091,1057091,1057091,2.1427050317338688e+18,5.408257051500254e+18,08970611894918218701,2014-10-22T22:41:00-02:00,Sobre nó(s) e nós," Ontem eu fiquei construindo mentalmente um texto no qual eu estaria me dirigindo a um senhor desconhecido que uma vez encontrei numa calçada, precisando de ajuda para se orientar na rua. A cena em que ajudei esse idoso aconteceu há alguns anos, mas me marcou profundamente. Ele estava perplexo, tinha acabado de se dar conta de que um lugar que adorava e que frequentava no passado tinha se transformado em um estacionamento privado. Então, me contou sobre isso e mais alguns fatos aleatórios que, honestamente, nem lembro. E no final de tudo, sem me fazer perguntas, me desejou muitas coisas bonitas, que soaram como palavras de um familiar muito querido. Em resumo, esperava que eu encontrasse alguém que me fizesse bem e que me tratasse com respeito, que fizesse parte da construção da minha felicidade.  E, nesse instante, logo após uma situação específica extremamente difícil de ser compreendida por mim, me peguei pensando sobre o quanto acho injusto generalizações, sobretudo quando buscam retratar o convívio familiar. É absurdo perceber que um estranho se dirige a mim com mais dignidade do que alguém que, em teoria, deveria ser muito mais próximo e acolhedor. Atualmente, se debate bastante sobre o quanto recursos tecnológicos são capazes de aproximar e/ou afastar as pessoas, favorecendo a comunicação, mas nem sempre qualificando o modo como se dão os relacionamentos, que ocasionalmente ocorrem de forma mais superficial. Pensando nisso, busco entender que outros fatores interferem na maneira como os vínculos pessoais se estabelecem e, por que não?, se estragam. Na situação experienciada, a troca de mensagens por celular é o único canal de comunicação que parece minimamente aceitável. Frases curtas, por vezes objetivas (mas também aparecem rodeios!), impossíveis de serem interrompidas e que, na maior parte dos casos, demandam respostas. Qualquer tentativa de diálogo em formato diferente do mencionado parece ser um ímã para o caos. Minha esperança de ainda conseguir qualquer sucesso nesse sentido é uma prova da minha ingenuidade.  Eu gostaria que fosse mais simples e possível poder transmitir informações, ideias, sem tornar essa tarefa algo estressante. Que a preocupação fosse demonstrada com aparência de preocupação e não como uma ameaça, uma punição ou um apelo desesperado. Que dúvidas e incômodos pudessem ser compartilhados, a fim de serem transformados, ao invés de ficarem restritos ao universo individual, se cristalizando e evoluindo para certezas. Que apoio fosse uma palavra com algum significado, mais amplo do que estímulo e mais afetivo do que uma crença no sucesso que não suporta outro desfecho.  Sinto falta de ser incentivada a ser feliz segundo o meu desejo, segundo os meus padrões, como se estivesse condenada ao julgamento daqueles que sabem o que é o melhor para mim. Faz parte do crescimento cair e levantar-se, embora isso soe caótico a alguns ouvidos. Poderia afirmar que uma grande dificuldade presente no contexto familiar é a falta de confiança uns nos outros, desde a relação conjugal até a maneira como se estabelece o laço entre pais e filhos. Mas estaria mais uma vez cometendo o pecado da generalização, na tentativa de tornar abrangente uma questão que, nesse momento, não é de mais ninguém além de mim.  Se eu encontrasse hoje o senhor que eu mencionei, eu diria a ele - entre lágrimas felizes - que eu encontrei uma pessoa que carrega as características que se encaixam no perfil que ele desejou para mim (e no que eu desejei para mim!). Mas que, infelizmente, minha família não merece desfrutar disso. Não merece supor que faz parte dessa história. Não merece acessar o que se passa no meu coração e nos meus pensamentos.          ",não-ficção,0.0,2014-10-23 00:41:00,2014.0,5,598,23.0,29.0,59.0,"['Que dúvidas e incômodos pudessem ser compartilhados, a fim de serem transformados, ao invés de ficarem restritos ao universo individual, se cristalizando e evoluindo para certezas.', 'Que a preocupação fosse demonstrada com aparência de preocupação e não como uma ameaça, uma punição ou um apelo desesperado.', 'Mas estaria mais uma vez cometendo o pecado da generalização, na tentativa de tornar abrangente uma questão que, nesse momento, não é de mais ninguém além de mim.', 'Não merece acessar o que se passa no meu coração e nos meus pensamentos.', 'Pensando nisso, busco entender que outros fatores interferem na maneira como os vínculos pessoais se estabelecem e, por que não?, se estragam.']",3.0,10.0
9,26287,84179,199716,199716,199716,1.214540267326056e+18,5.142516558216883e+18,08604249763251322068,2012-09-24T08:00:00-07:00,Lua de mel - Parte 3,"Oiiii ..pessoas queridas do meu coração !!  Bom, finalmente a 3ª e última etapa da nossa viagem inusitada ao Chile:  No dia seguinte ao susto da alergia do Di, era um domingo ensolarado, lindo !!  Aproveitamos pra visitar museus (cujas entradas são gratuitas no domingo):     Olha !!! A estátua apontando pra minha cabeça e olhando pra cima como quem diz: Ei, olhem o que vcs aprontaram aqui!!:     Olha que lugar lindo !! Este era o segundo andar do Museu das Belas Artes:     Esposos (uma estrutura de madeira com uma manivela ali, logo atrás do Di que vc, ao girá-la, aparecia neste espaço várias definições sobre essas duas sombras (que estão entre nós dois):     Eram várias as denominações (amantes, amigos, esposos, observadores, etc...).  O Di falou assim: Já pensou se 'esposos' aqui significa outra coisa???? Mas para garantir e não apagarmos a foto, fomos procurar no dicionário ao chegarmos no hotel, rsrsrsrs ...  Di (ainda um pouco inchadinho) e eu numa estação de metrô (bem parecido com o de São Paulo):     Um dia após o passeio pelos museus da cidade, foi nossa visita à vinícola mais famosa de Santiago, Concha Y Toro:     Olha o meu marido fazendo pose:     Olha que lugar lindo !!!! O Di estava me apressando porque o grupo já estava lá na frente com o guia:     Um dos casarões dentro da vinícola (perdemos o guia explicando a história dele porque estávamos tirando a foto acima, heheheh !!):     Um coelhinho!! O Di tentou fazer uma foto-montagem, mas não deu certo, aí fiquei com essa cara de boba aí, rsrs:     Olhem as vinhas, mas como estava inverno, elas estavam só nos galhinhos:     Esses trequinhos pretos são as mangueiras para aguá-las.  Hum ....vai pensando !!! Chardonnay, meu bem !!!     Tivemos 2 degustações incluídas na visita. Este de preto e óculos, à esquerda da foto era o guia. Ele era muito gentil e falava um espanhol bem pausado para que todos entendessem (a maioria esmagadora dos turistas de Santiago são brasileiros !!!):     Na 2ª degustação, ganhamos as taças com o nome da vinícola!! Elas estão aki em casa hoje !! (só foi difícil trazê-las no avião sem quebrar ... ufa!!)     Onde ficam os tonéis de vinho:     O Di guloso:     A gente num frio lascado (os tonéis devem ficar mantidos gelados !!):     Com nossas tacinhas de brinde, uma foto numa parede bonita:     No penúltimo dia em que estivemos lá, assistimos à Troca de Guarda da Casa da Moeda deles:     Nossa, é muito legal todos os guardinhas fazendo tudo igualzinho !!! Parecendo um só ao som da banda (acima):     Acreditem, aí têm 4 cavalos:     Bom, pessoas queridas, por aqui encerram-se as fotos da nossa lua de mel ...  E após a lua de mel vem a vida de casada, eeeeeeeeeeehhhhhhhhhhh ... que por sinal, estou louca pra contar pra vcs as novidades !!  Beijo beijo.",lua de mel,3.0,2012-09-24 15:00:00,2012.0,5,459,17.653846153846153,6.0,28.0,"['O Di estava me apressando porque o grupo já estava lá na frente com o guia:     Um dos casarões dentro da vinícola (perdemos o guia explicando a história dele porque estávamos tirando a foto acima, heheheh !!', 'Oiiii ..pessoas queridas do meu coração !!', 'Hum ....vai pensando !!!', 'Chardonnay, meu bem !!!', 'Este era o segundo andar do Museu das Belas Artes:     Esposos (uma estrutura de madeira com uma manivela ali, logo atrás do Di que vc, ao girá-la, aparecia neste espaço várias definições sobre essas duas sombras (que estão entre nós dois):     Eram várias as denominações (amantes, amigos, esposos, observadores, etc...).']",3.0,4.0
